item;session;topright_image;topleft_image;bottomright_image;bottomleft_image;audiofile;condition
82;1;images/discomp_2.png;images/target_2.png;images/distarget_2.png;images/competitor_2.png;sounds/linear_long_2.wav;linear_long
79;1;images/distarget_39.png;images/discomp_39.png;images/competitor_39.png;images/target_39.png;sounds/nested_short_39.wav;nested_short
92;1;images/target_12.png;images/discomp_12.png;images/distarget_12.png;images/competitor_12.png;sounds/linear_long_12.wav;linear_long
81;1;images/discomp_1.png;images/distarget_1.png;images/target_1.png;images/competitor_1.png;sounds/linear_long_1.wav;linear_long
205;1;images/tar_f45.png;images/dtar_f45.png;images/comp_f45.png;images/dcomp_f45.png;sounds/filler_45.wav;filler
18;1;images/target_18.png;images/competitor_18.png;images/discomp_18.png;images/distarget_18.png;sounds/nested_long_18.wav;nested_long
26;1;images/discomp_26.png;images/target_26.png;images/distarget_26.png;images/competitor_26.png;sounds/nested_long_26.wav;nested_long
43;1;images/distarget_3.png;images/target_3.png;images/competitor_3.png;images/discomp_3.png;sounds/nested_short_3.wav;nested_short
191;1;images/tar_f31.png;images/dtar_f31.png;images/comp_f31.png;images/dcomp_f31.png;sounds/filler_31.wav;filler
233;1;images/tar_f73.png;images/dtar_f73.png;images/comp_f73.png;images/dcomp_f73.png;sounds/filler_73.wav;filler
137;1;images/discomp_17.png;images/target_17.png;images/distarget_17.png;images/competitor_17.png;sounds/linear_short_17.wav;linear_short
151;1;images/distarget_31.png;images/discomp_31.png;images/target_31.png;images/competitor_31.png;sounds/linear_short_31.wav;linear_short
153;1;images/discomp_33.png;images/competitor_33.png;images/distarget_33.png;images/target_33.png;sounds/linear_short_33.wav;linear_short
149;1;images/distarget_29.png;images/discomp_29.png;images/target_29.png;images/competitor_29.png;sounds/linear_short_29.wav;linear_short
221;1;images/tar_f61.png;images/dtar_f61.png;images/comp_f61.png;images/dcomp_f61.png;sounds/filler_61.wav;filler
172;1;images/tar_f12.png;images/dtar_f12.png;images/comp_f12.png;images/dcomp_f12.png;sounds/filler_12.wav;filler
87;1;images/competitor_7.png;images/target_7.png;images/discomp_7.png;images/distarget_7.png;sounds/linear_long_7.wav;linear_long
177;1;images/tar_f17.png;images/dtar_f17.png;images/comp_f17.png;images/dcomp_f17.png;sounds/filler_17.wav;filler
218;1;images/tar_f58.png;images/dtar_f58.png;images/comp_f58.png;images/dcomp_f58.png;sounds/filler_58.wav;filler
20;1;images/competitor_20.png;images/discomp_20.png;images/target_20.png;images/distarget_20.png;sounds/nested_long_20.wav;nested_long
102;1;images/discomp_22.png;images/target_22.png;images/competitor_22.png;images/distarget_22.png;sounds/linear_long_22.wav;linear_long
143;1;images/target_23.png;images/distarget_23.png;images/discomp_23.png;images/competitor_23.png;sounds/linear_short_23.wav;linear_short
108;1;images/discomp_28.png;images/target_28.png;images/distarget_28.png;images/competitor_28.png;sounds/linear_long_28.wav;linear_long
46;1;images/discomp_6.png;images/distarget_6.png;images/target_6.png;images/competitor_6.png;sounds/nested_short_6.wav;nested_short
184;1;images/tar_f24.png;images/dtar_f24.png;images/comp_f24.png;images/dcomp_f24.png;sounds/filler_24.wav;filler
55;1;images/target_15.png;images/discomp_15.png;images/distarget_15.png;images/competitor_15.png;sounds/nested_short_15.wav;nested_short
179;1;images/tar_f19.png;images/dtar_f19.png;images/comp_f19.png;images/dcomp_f19.png;sounds/filler_19.wav;filler
139;1;images/discomp_19.png;images/distarget_19.png;images/competitor_19.png;images/target_19.png;sounds/linear_short_19.wav;linear_short
235;1;images/tar_f75.png;images/dtar_f75.png;images/comp_f75.png;images/dcomp_f75.png;sounds/filler_75.wav;filler
230;1;images/tar_f70.png;images/dtar_f70.png;images/comp_f70.png;images/dcomp_f70.png;sounds/filler_70.wav;filler
111;1;images/distarget_31.png;images/discomp_31.png;images/target_31.png;images/competitor_31.png;sounds/linear_long_31.wav;linear_long
132;1;images/discomp_12.png;images/distarget_12.png;images/target_12.png;images/competitor_12.png;sounds/linear_short_12.wav;linear_short
165;1;images/tar_f5.png;images/dtar_f5.png;images/comp_f5.png;images/dcomp_f5.png;sounds/filler_5.wav;filler
195;1;images/tar_f35.png;images/dtar_f35.png;images/comp_f35.png;images/dcomp_f35.png;sounds/filler_35.wav;filler
107;1;images/distarget_27.png;images/target_27.png;images/discomp_27.png;images/competitor_27.png;sounds/linear_long_27.wav;linear_long
88;1;images/distarget_8.png;images/target_8.png;images/discomp_8.png;images/competitor_8.png;sounds/linear_long_8.wav;linear_long
145;1;images/distarget_25.png;images/target_25.png;images/discomp_25.png;images/competitor_25.png;sounds/linear_short_25.wav;linear_short
