item;session;topright_image;topleft_image;bottomright_image;bottomleft_image;audiofile;condition
22;3;images/competitor_22.png;images/target_22.png;images/discomp_22.png;images/distarget_22.png;sounds/nested_long_22.wav;nested_long
30;3;images/discomp_30.png;images/target_30.png;images/distarget_30.png;images/competitor_30.png;sounds/nested_long_30.wav;nested_long
61;3;images/competitor_21.png;images/discomp_21.png;images/target_21.png;images/distarget_21.png;sounds/nested_short_21.wav;nested_short
48;3;images/discomp_8.png;images/target_8.png;images/competitor_8.png;images/distarget_8.png;sounds/nested_short_8.wav;nested_short
99;3;images/competitor_19.png;images/distarget_19.png;images/discomp_19.png;images/target_19.png;sounds/linear_long_19.wav;linear_long
106;3;images/target_26.png;images/discomp_26.png;images/competitor_26.png;images/distarget_26.png;sounds/linear_long_26.wav;linear_long
185;3;images/tar_f25.png;images/dtar_f25.png;images/comp_f25.png;images/dcomp_f25.png;sounds/filler_25.wav;filler
64;3;images/target_24.png;images/discomp_24.png;images/distarget_24.png;images/competitor_24.png;sounds/nested_short_24.wav;nested_short
120;3;images/distarget_40.png;images/competitor_40.png;images/discomp_40.png;images/target_40.png;sounds/linear_long_40.wav;linear_long
131;3;images/discomp_11.png;images/target_11.png;images/distarget_11.png;images/competitor_11.png;sounds/linear_short_11.wav;linear_short
100;3;images/target_20.png;images/distarget_20.png;images/competitor_20.png;images/discomp_20.png;sounds/linear_long_20.wav;linear_long
114;3;images/distarget_34.png;images/competitor_34.png;images/target_34.png;images/discomp_34.png;sounds/linear_long_34.wav;linear_long
34;3;images/target_34.png;images/discomp_34.png;images/distarget_34.png;images/competitor_34.png;sounds/nested_long_34.wav;nested_long
66;3;images/competitor_26.png;images/target_26.png;images/discomp_26.png;images/distarget_26.png;sounds/nested_short_26.wav;nested_short
96;3;images/competitor_16.png;images/distarget_16.png;images/discomp_16.png;images/target_16.png;sounds/linear_long_16.wav;linear_long
15;3;images/discomp_15.png;images/target_15.png;images/distarget_15.png;images/competitor_15.png;sounds/nested_long_15.wav;nested_long
35;3;images/distarget_35.png;images/discomp_35.png;images/target_35.png;images/competitor_35.png;sounds/nested_long_35.wav;nested_long
95;3;images/distarget_15.png;images/competitor_15.png;images/target_15.png;images/discomp_15.png;sounds/linear_long_15.wav;linear_long
73;3;images/distarget_33.png;images/discomp_33.png;images/competitor_33.png;images/target_33.png;sounds/nested_short_33.wav;nested_short
67;3;images/distarget_27.png;images/competitor_27.png;images/discomp_27.png;images/target_27.png;sounds/nested_short_27.wav;nested_short
80;3;images/target_40.png;images/distarget_40.png;images/discomp_40.png;images/competitor_40.png;sounds/nested_short_40.wav;nested_short
160;3;images/discomp_40.png;images/distarget_40.png;images/target_40.png;images/competitor_40.png;sounds/linear_short_40.wav;linear_short
59;3;images/discomp_19.png;images/target_19.png;images/competitor_19.png;images/distarget_19.png;sounds/nested_short_19.wav;nested_short
155;3;images/competitor_35.png;images/distarget_35.png;images/target_35.png;images/discomp_15.png;sounds/linear_short_35.wav;linear_short
12;3;images/distarget_12.png;images/competitor_12.png;images/target_2.png;images/discomp_12.png;sounds/nested_long_12.wav;nested_long
189;3;images/tar_f29.png;images/dtar_f29.png;images/comp_f29.png;images/dcomp_f29.png;sounds/filler_29.wav;filler
231;3;images/tar_f71.png;images/dtar_f71.png;images/comp_f71.png;images/dcomp_f71.png;sounds/filler_71.wav;filler
7;3;images/competitor_7.png;images/distarget_7.png;images/discomp_7.png;images/target_7.png;sounds/nested_long_7.wav;nested_long
226;3;images/tar_f66.png;images/dtar_f66.png;images/comp_f66.png;images/dcomp_f66.png;sounds/filler_66.wav;filler
10;3;images/discomp_10.png;images/target_10.png;images/competitor_10.png;images/distarget_10.png;sounds/nested_long_10.wav;nested_long
31;3;images/target_31.png;images/discomp_31.png;images/distarget_31.png;images/competitor_31.png;sounds/nested_long_31.wav;nested_long
49;3;images/target_9.png;images/distarget_9.png;images/discomp_9.png;images/competitor_9.png;sounds/nested_short_9.wav;nested_short
69;3;images/target_29.png;images/discomp_29.png;images/distarget_29.png;images/competitor_29.png;sounds/nested_short_29.wav;nested_short
45;3;images/distarget_5.png;images/competitor_5.png;images/discomp_5.png;images/target_5.png;sounds/nested_short_5.wav;nested_short
65;3;images/distarget_25.png;images/target_25.png;images/discomp_25.png;images/competitor_25.png;sounds/nested_short_25.wav;nested_short
199;3;images/tar_f39.png;images/dtar_f39.png;images/comp_f39.png;images/dcomp_f39.png;sounds/filler_39.wav;filler
211;3;images/tar_f51.png;images/dtar_f51.png;images/comp_f51.png;images/dcomp_f51.png;sounds/filler_51.wav;filler
38;3;images/distarget_38.png;images/discomp_38.png;images/competitor_38.png;images/target_38.png;sounds/nested_long_38.wav;nested_long
128;3;images/discomp_8.png;images/distarget_8.png;images/competitor_8.png;images/target_8.png;sounds/linear_short_8.wav;linear_short
207;3;images/tar_f47.png;images/dtar_f47.png;images/comp_f47.png;images/dcomp_f47.png;sounds/filler_47.wav;filler
29;3;images/discomp_29.png;images/distarget_29.png;images/target_29.png;images/competitor_29.png;sounds/nested_long_29.wav;nested_long
109;3;images/target_29.png;images/competitor_29.png;images/discomp_29.png;images/distarget_29.png;sounds/linear_long_29.wav;linear_long
229;3;images/tar_f69.png;images/dtar_f69.png;images/comp_f69.png;images/dcomp_f69.png;sounds/filler_69.wav;filler
19;3;images/target_19.png;images/discomp_19.png;images/distarget_19.png;images/competitor_19.png;sounds/nested_long_19.wav;nested_long
167;3;images/tar_f7.png;images/dtar_f7.png;images/comp_f7.png;images/dcomp_f7.png;sounds/filler_7.wav;filler
133;3;images/distarget_13.png;images/competitor_13.png;images/target_13.png;images/discomp_13.png;sounds/linear_short_13.wav;linear_short
176;3;images/tar_f16.png;images/dtar_f16.png;images/comp_f16.png;images/dcomp_f16.png;sounds/filler_16.wav;filler
183;3;images/tar_f23.png;images/dtar_f23.png;images/comp_f23.png;images/dcomp_f23.png;sounds/filler_23.wav;filler
16;3;images/distarget_16.png;images/target_16.png;images/discomp_16.png;images/competitor_16.png;sounds/nested_long_16.wav;nested_long
11;3;images/competitor_11.png;images/distarget_11.png;images/discomp_11.png;images/target_11.png;sounds/nested_long_11.wav;nested_long
91;3;images/discomp_11.png;images/competitor_11.png;images/distarget_11.png;images/target_11.png;sounds/linear_long_11.wav;linear_long
97;3;images/target_17.png;images/competitor_17.png;images/discomp_17.png;images/distarget_17.png;sounds/linear_long_17.wav;linear_long
84;3;images/target_4.png;images/discomp_4.png;images/competitor_4.png;images/distarget_4.png;sounds/linear_long_4.wav ;linear_long
215;3;images/tar_f55.png;images/dtar_f55.png;images/comp_f55.png;images/dcomp_f55.png;sounds/filler_55.wav;filler
5;3;images/discomp_5.png;images/target_5.png;images/competitor_5.png;images/distarget_5.png;sounds/nested_long_5.wav;nested_long
202;3;images/tar_f42.png;images/dtar_f42.png;images/comp_f42.png;images/dcomp_f42.png;sounds/filler_42.wav;filler
115;3;images/distarget_35.png;images/competitor_35.png;images/discomp_35.png;images/target_35.png;sounds/linear_long_35.wav;linear_long
2;3;images/discomp_2.png;images/competitor_2.png;images/target_2.png;images/distarget_2.png;sounds/nested_long_2.wav;nested_long
110;3;images/distarget_30.png;images/discomp_30.png;images/target_30.png;images/competitor_30.png;sounds/linear_long_30.wav;linear_long
239;3;images/tar_f79.png;images/dtar_f79.png;images/comp_f79.png;images/dcomp_f79.png;sounds/filler_79.wav;filler
